genestableid,gene_name,gene_description,disagreement,prob_equal_ortho_adj,similarity
"ENSMUSG00000022022","mtrf1","mitochondrial translational release factor 1",1.778751,.0144548,"Different"
"ENSMUSG00000022023","wbp4","ww domain binding protein 4",.046187,.8772232,"Same"
"ENSMUSG00000022033","pbk","pdz binding kinase",.0165912,.9592049,"Same"
"ENSMUSG00000022034","esco2","establishment of sister chromatid cohesion n acetyltransferase 2",.0000393,.9650449,"Same"
"ENSMUSG00000022035","ccdc25","coiled coil domain containing 25",.4927065,.8746549,"Same"
"ENSMUSG00000022037","clu","clusterin",.3033231,.9012716,"Same"
"ENSMUSG00000022040","ephx2","epoxide hydrolase 2 cytoplasmic",1.801407,.0050775,"Different"
"ENSMUSG00000022044","stmn4","stathmin like 4",.3011198,.8481897,"Same"
"ENSMUSG00000022048","dpysl2","dihydropyrimidinase like 2",.2710031,.8989379,"Same"
"ENSMUSG00000022052","ppp2r2a","protein phosphatase 2 regulatory subunit b alpha",.7734919,.7791934,"Same"
"ENSMUSG00000022054","nefm","neurofilament medium polypeptide",.8055902,.7790538,"Same"
"ENSMUSG00000022064","pibf1","progesterone immunomodulatory binding factor 1",.1547191,.8976663,"Same"
"ENSMUSG00000022070","bora","bora aurora kinase a activator",.0015298,.9650449,"Same"
"ENSMUSG00000022075","rhobtb2","rho related btb domain containing 2",.371089,.8348749,"Same"
"ENSMUSG00000022076","klhl1","kelch like 1",.9665621,.3618629,"Same"
"ENSMUSG00000022089","bin3","bridging integrator 3",1.668821,.0000453,"Different"
"ENSMUSG00000022090","pdlim2","pdz and lim domain 2",.0043053,.9470507,"Same"
"ENSMUSG00000022092","ppp3cc","protein phosphatase 3 catalytic subunit gamma isoform",.4613321,.8746549,"Same"
"ENSMUSG00000022094","slc39a14","solute carrier family 39 zinc transporter member 14",1.462966,.0192158,"Different"
"ENSMUSG00000022096","hr","lysine demethylase and nuclear receptor corepressor",.3733855,.8746549,"Same"
"ENSMUSG00000022097","sftpc","surfactant associated protein c",.0002196,.9650449,"Same"
"ENSMUSG00000022099","dmtn","dematin actin binding protein",.0633685,.8975709,"Same"
"ENSMUSG00000022103","gfra2","glial cell line derived neurotrophic factor family receptor alpha 2",.0226625,.9592049,"Same"
"ENSMUSG00000022105","rb1","rb transcriptional corepressor 1",.6777938,.5504151,"Same"
"ENSMUSG00000022106","rcbtb2","regulator of chromosome condensation rcc1 and btb poz domain containing protein 2",.5247141,.8746549,"Same"
"ENSMUSG00000022108","itm2b","integral membrane protein 2b",.8342083,.7601342,"Same"
"ENSMUSG00000022109","med4","mediator complex subunit 4",1.743585,.0948851,"Same"
"ENSMUSG00000022110","sucla2","succinate coenzyme a ligase adp forming beta subunit",.0000864,.9641184,"Same"
"ENSMUSG00000022112","gpc5","glypican 5",.213428,.9273848,"Same"
"ENSMUSG00000022119","rbm26","rna binding motif protein 26",.4613271,.8721513,"Same"
"ENSMUSG00000022120","rnf219","ring finger protein 219",1.859541,.0985348,"Same"
"ENSMUSG00000022124","fbxl3","f box and leucine rich repeat protein 3",.7128475,.5302981,"Same"
"ENSMUSG00000022129","dct","dopachrome tautomerase",1.260882,.4347119,"Same"
"ENSMUSG00000022130","tgds","tdp glucose 4 6 dehydratase",1.029528,.6819496,"Same"
"ENSMUSG00000022131","gpr180","g protein coupled receptor 180",.4173568,.8776925,"Same"
"ENSMUSG00000022132","cldn10","claudin 10",.0022291,.9606673,"Same"
"ENSMUSG00000022136","dnajc3","dnaj heat shock protein family hsp40 member c3",.0012853,.9592049,"Same"
"ENSMUSG00000022139","mbnl2","muscleblind like splicing factor 2",.0085492,.9593371,"Same"
"ENSMUSG00000022141","nipbl","nipbl cohesin loading factor",.0355988,.8776925,"Same"
"ENSMUSG00000022142","nup155","nucleoporin 155",.0063347,.9605781,"Same"
"ENSMUSG00000022159","rab2b","rab2b member ras oncogene family",1.299138,.0593243,"Same"
"ENSMUSG00000022160","mettl3","methyltransferase like 3",.003074,.9592049,"Same"
"ENSMUSG00000022178","ajuba","ajuba lim protein",2.47e-06,.9650449,"Same"
"ENSMUSG00000022179","4931414p19rik","riken cdna 4931414p19 gene",1.453447,.4340346,"Same"
"ENSMUSG00000022180","slc7a8","solute carrier family 7 cationic amino acid transporter y+ system member 8",1.586682,.0571025,"Same"
"ENSMUSG00000022185","acin1","apoptotic chromatin condensation inducer 1",.0472105,.8776925,"Same"
"ENSMUSG00000022186","oxct1","3 oxoacid coa transferase 1",.6062495,.8303773,"Same"
"ENSMUSG00000022191","drosha","drosha ribonuclease type iii",.8006135,.7193196,"Same"
"ENSMUSG00000022195","6030458c11rik","riken cdna 6030458c11 gene",.3891691,.8595854,"Same"
"ENSMUSG00000022197","pdzd2","pdz domain containing 2",.0185928,.9592049,"Same"
"ENSMUSG00000022200","golph3","golgi phosphoprotein 3",1.594006,.0000358,"Different"
"ENSMUSG00000022203","efs","embryonal fyn associated substrate",.0052212,.9592049,"Same"
"ENSMUSG00000022208","jph4","junctophilin 4",.1834705,.8851597,"Same"
"ENSMUSG00000022211","carmil3","capping protein regulator and myosin 1 linker 3",.4404697,.8280004,"Same"
"ENSMUSG00000022212","cpne6","copine vi",.0287503,.8930278,"Same"
"ENSMUSG00000022214","dcaf11","ddb1 and cul4 associated factor 11",1.442367,.4082684,"Same"
"ENSMUSG00000022219","cideb","cell death inducing dna fragmentation factor alpha subunit like effector b",1.700325,6.16e-07,"Different"
"ENSMUSG00000022234","cct5","chaperonin containing tcp1 subunit 5 epsilon ",.0034757,.9615534,"Same"
"ENSMUSG00000022240","ctnnd2","catenin cadherin associated protein delta 2",.000265,.9419276,"Same"
"ENSMUSG00000022241","tars","threonyl trna synthetase",.0146048,.9592049,"Same"
"ENSMUSG00000022246","rai14","retinoic acid induced 14",1.27222,.5478401,"Same"
"ENSMUSG00000022247","brix1","brx1 biogenesis of ribosomes",.0029825,.9592049,"Same"
"ENSMUSG00000022248","rad1","rad1 checkpoint dna exonuclease",1.320572,.3245321,"Same"
"ENSMUSG00000022257","laptm4b","lysosomal associated protein transmembrane 4b",1.78958,.0179107,"Different"
"ENSMUSG00000022261","sdc2","syndecan 2",1.542556,.0978639,"Same"
"ENSMUSG00000022263","trio","triple functional domain ptprf interacting ",1.376419,.4189985,"Same"
"ENSMUSG00000022265","ank","progressive ankylosis",.1369357,.8875134,"Same"
"ENSMUSG00000022269","march11","membrane associated ring finger c3hc4 11",.5183294,.8583677,"Same"
"ENSMUSG00000022270","retreg1","reticulophagy regulator 1",.1763942,.9262763,"Same"
"ENSMUSG00000022280","rnf19a","ring finger protein 19a",.6745012,.7412362,"Same"
"ENSMUSG00000022283","pabpc1","poly a binding protein cytoplasmic 1",.4328548,.8776925,"Same"
"ENSMUSG00000022285","ywhaz","tyrosine 3 monooxygenase/tryptophan 5 monooxygenase activation protein zeta polypeptide",1.518625,.1300848,"Same"
"ENSMUSG00000022286","grhl2","grainyhead like transcription factor 2",.0910252,.9552955,"Same"
"ENSMUSG00000022292","rrm2b","ribonucleotide reductase m2 b tp53 inducible ",.8410295,.7282164,"Same"
"ENSMUSG00000022295","atp6v1c1","atpase h+ transporting lysosomal v1 subunit c1",.0002902,.9592049,"Same"
"ENSMUSG00000022296","baalc","brain and acute leukemia cytoplasmic",.0003619,.8776925,"Same"
"ENSMUSG00000022299","slc25a32","solute carrier family 25 member 32",1.341208,.1920493,"Same"
"ENSMUSG00000022300","dcaf13","ddb1 and cul4 associated factor 13",.202711,.9228349,"Same"
"ENSMUSG00000022306","zfpm2","zinc finger protein multitype 2",1.067015,.5198125,"Same"
"ENSMUSG00000022307","oxr1","oxidation resistance 1",.0588073,.9592049,"Same"
"ENSMUSG00000022311","csmd3","cub and sushi multiple domains 3",.2441871,.8746549,"Same"
"ENSMUSG00000022312","eif3h","eukaryotic translation initiation factor 3 subunit h",.3608455,.8818451,"Same"
"ENSMUSG00000022314","rad21","rad21 cohesin complex component",.0404928,.9592049,"Same"
"ENSMUSG00000022321","cdh10","cadherin 10",1.118618,.5793802,"Same"
"ENSMUSG00000022322","shcbp1","shc sh2 domain binding protein 1",.000124,.9668809,"Same"
"ENSMUSG00000022323","rida","reactive intermediate imine deaminase a homolog",.8382545,.7157368,"Same"
"ENSMUSG00000022324","matn2","matrilin 2",.3184253,.8930278,"Same"
"ENSMUSG00000022325","pop1","processing of precursor 1 ribonuclease p/mrp family s cerevisiae ",.686805,.8234763,"Same"
"ENSMUSG00000022329","stk3","serine/threonine kinase 3",.13292,.8772232,"Same"
"ENSMUSG00000022332","khdrbs3","kh domain containing rna binding signal transduction associated 3",.1613315,.8915315,"Same"
"ENSMUSG00000022336","eif3e","eukaryotic translation initiation factor 3 subunit e",.4409597,.8776925,"Same"
"ENSMUSG00000022337","emc2","er membrane protein complex subunit 2",.6075003,.8218114,"Same"
"ENSMUSG00000022338","eny2","eny2 transcription and export complex 2 subunit",1.439078,.0887638,"Same"
"ENSMUSG00000022339","ebag9","estrogen receptor binding fragment associated gene 9",1.465585,.0787217,"Same"
"ENSMUSG00000022340","sybu","syntabulin syntaxin interacting ",.588331,.8033807,"Same"
"ENSMUSG00000022342","kcnv1","potassium channel subfamily v member 1",.0037383,.9592049,"Same"
"ENSMUSG00000022346","myc","myelocytomatosis oncogene",.0357477,.907611,"Same"
"ENSMUSG00000022350","washc5","wash complex subunit 5",.047131,.953041,"Same"
"ENSMUSG00000022351","sqle","squalene epoxidase",.1424899,.8776925,"Same"
"ENSMUSG00000022353","mtss1","metastasis suppressor 1",.0548932,.9592049,"Same"
"ENSMUSG00000022354","ndufb9","nadh:ubiquinone oxidoreductase subunit b9",.0202424,.9592049,"Same"
"ENSMUSG00000022358","fbxo32","f box protein 32",.054645,.9592049,"Same"
"ENSMUSG00000022359","wdyhv1","wdyhv motif containing 1",1.139104,.0494109,"Different"
"ENSMUSG00000022360","atad2","atpase family aaa domain containing 2",.0012562,.9650449,"Same"
"ENSMUSG00000022361","zhx1","zinc fingers and homeoboxes 1",1.534227,.2928762,"Same"
"ENSMUSG00000022364","tbc1d31","tbc1 domain family member 31",.0400306,.9592049,"Same"
"ENSMUSG00000022367","has2","hyaluronan synthase 2",.0176916,.9592049,"Same"
"ENSMUSG00000022369","mtbp","mdm2 transformed 3t3 cell double minute p53 binding protein",.0083515,.9600178,"Same"
"ENSMUSG00000022370","mrpl13","mitochondrial ribosomal protein l13",.4378557,.8746549,"Same"
"ENSMUSG00000022372","sla","src like adaptor",.0132583,.953041,"Same"
"ENSMUSG00000022375","lrrc6","leucine rich repeat containing 6 testis ",1.446952,.0467634,"Different"
"ENSMUSG00000022376","adcy8","adenylate cyclase 8",.1099421,.9153484,"Same"
"ENSMUSG00000022378","fam49b","family with sequence similarity 49 member b",.0470017,.9217858,"Same"
"ENSMUSG00000022382","wnt7b","wingless type mmtv integration site family member 7b",.7749482,.7250097,"Same"
"ENSMUSG00000022385","gtse1","g two s phase expressed protein 1",.0034879,.9644368,"Same"
"ENSMUSG00000022387","brd1","bromodomain containing 1",.0108965,.9357217,"Same"
"ENSMUSG00000022389","tef","thyrotroph embryonic factor",.1739164,.9375608,"Same"
"ENSMUSG00000022391","rangap1","ran gtpase activating protein 1",1.498375,.3698449,"Same"
"ENSMUSG00000022401","xpnpep3","x prolyl aminopeptidase 3 mitochondrial",.5839964,.6366378,"Same"
"ENSMUSG00000022403","st13","suppression of tumorigenicity 13",.2656992,.8772232,"Same"
"ENSMUSG00000022404","slc25a17","solute carrier family 25 mitochondrial carrier peroxisomal membrane protein member 17",1.389885,.1288078,"Same"
"ENSMUSG00000022407","adsl","adenylosuccinate lyase",.1083283,.8989379,"Same"
"ENSMUSG00000022412","mief1","mitochondrial elongation factor 1",.2633926,.8291227,"Same"
"ENSMUSG00000022415","syngr1","synaptogyrin 1",.3490911,.8776925,"Same"
"ENSMUSG00000022416","cacna1i","calcium channel voltage dependent alpha 1i subunit",.0998902,.9419276,"Same"
"ENSMUSG00000022419","deptor","dep domain containing mtor interacting protein",1.050153,.6359526,"Same"
"ENSMUSG00000022422","dscc1","dna replication and sister chromatid cohesion 1",.0081379,.9598377,"Same"
"ENSMUSG00000022425","enpp2","ectonucleotide pyrophosphatase/phosphodiesterase 2",1.235515,.2762861,"Same"
"ENSMUSG00000022426","josd1","josephin domain containing 1",1.718372,.2151341,"Same"
"ENSMUSG00000022433","csnk1e","casein kinase 1 epsilon",.2638507,.8984376,"Same"
"ENSMUSG00000022436","sh3bp1","sh3 domain binding protein 1",1.502827,.0097196,"Different"
"ENSMUSG00000022438","parvb","parvin beta",.3517974,.8091327,"Same"
"ENSMUSG00000022439","parvg","parvin gamma",.0017912,.9592049,"Same"
"ENSMUSG00000022440","c1qtnf6","c1q and tumor necrosis factor related protein 6",1.026083,.4383808,"Same"
"ENSMUSG00000022442","ttll1","tubulin tyrosine ligase like 1",.7250829,.7671073,"Same"
"ENSMUSG00000022443","myh9","myosin heavy polypeptide 9 non muscle",1.070551,.659917,"Same"
"ENSMUSG00000022449","adamts20","a disintegrin like and metallopeptidase reprolysin type with thrombospondin type 1 motif 20",1.407671,.000525,"Different"
"ENSMUSG00000022453","naga","n acetyl galactosaminidase alpha",1.068251,2.04e-07,"Different"
"ENSMUSG00000022456","sept3","septin 3",.0337796,.9592049,"Same"
"ENSMUSG00000022462","slc38a2","solute carrier family 38 member 2",1.086844,.6342817,"Same"
"ENSMUSG00000022463","srebf2","sterol regulatory element binding factor 2",.2685971,.7282164,"Same"
"ENSMUSG00000022464","slc38a4","solute carrier family 38 member 4",.7907325,.7534272,"Same"
"ENSMUSG00000022466","rpap3","rna polymerase ii associated protein 3",.7359866,.5478401,"Same"
"ENSMUSG00000022468","endou","endonuclease polyu specific",.0001454,.9650449,"Same"
"ENSMUSG00000022469","rapgef3","rap guanine nucleotide exchange factor gef 3",.9802964,.6810548,"Same"
"ENSMUSG00000022471","xrcc6","x ray repair complementing defective repair in chinese hamster cells 6",.1479691,.9277219,"Same"
"ENSMUSG00000022472","desi1","desumoylating isopeptidase 1",.0580472,.9592049,"Same"
"ENSMUSG00000022474","pmm1","phosphomannomutase 1",.0021981,.9375608,"Same"
"ENSMUSG00000022475","hdac7","histone deacetylase 7",1.18015,.0097872,"Different"
"ENSMUSG00000022477","aco2","aconitase 2 mitochondrial",.0190504,.8980878,"Same"
"ENSMUSG00000022483","col2a1","collagen type ii alpha 1",.0595297,.9592049,"Same"
"ENSMUSG00000022488","nckap1l","nck associated protein 1 like",.1175411,.9055493,"Same"
"ENSMUSG00000022489","pde1b","phosphodiesterase 1b ca2+ calmodulin dependent",.6289781,.8437144,"Same"
"ENSMUSG00000022490","ppp1r1a","protein phosphatase 1 regulatory inhibitor subunit 1a",.1407589,.9347096,"Same"
"ENSMUSG00000022494","shisa9","shisa family member 9",.0006353,.9592049,"Same"
"ENSMUSG00000022505","emp2","epithelial membrane protein 2",1.689867,3.59e-06,"Different"
"ENSMUSG00000022508","bcl6","b cell leukemia/lymphoma 6",.0003249,.9596648,"Same"
"ENSMUSG00000022510","trp63","transformation related protein 63",.2519264,.9079725,"Same"
"ENSMUSG00000022514","il1rap","interleukin 1 receptor accessory protein",.0215747,.938316,"Same"
"ENSMUSG00000022516","nudt16l1","nudix nucleoside diphosphate linked moiety x type motif 16 like 1",1.540982,.0439413,"Different"
"ENSMUSG00000022521","crebbp","creb binding protein",1.251492,.4940301,"Same"
"ENSMUSG00000022523","fgf12","fibroblast growth factor 12",.0131632,.9592049,"Same"
"ENSMUSG00000022525","hrasls","hras like suppressor",.0498432,.9562281,"Same"
"ENSMUSG00000022526","zfp251","zinc finger protein 251",1.432825,.0000608,"Different"
"ENSMUSG00000022528","hes1","hes family bhlh transcription factor 1",.332659,.8982311,"Same"
"ENSMUSG00000022529","zfp263","zinc finger protein 263",1.174221,.0017944,"Different"
"ENSMUSG00000022537","tmem44","transmembrane protein 44",1.447363,.097645,"Same"
"ENSMUSG00000022538","lsg1","large 60s subunit nuclear export gtpase 1",.0137141,.9592049,"Same"
"ENSMUSG00000022540","rogdi","rogdi homolog",.7396972,.7736959,"Same"
"ENSMUSG00000022545","ercc4","excision repair cross complementing rodent repair deficiency complementation group 4",1.439614,1.67e-07,"Different"
"ENSMUSG00000022548","apod","apolipoprotein d",.1814958,.8738035,"Same"
"ENSMUSG00000022551","cyc1","cytochrome c 1",1.168465,.5868689,"Same"
"ENSMUSG00000022564","grina","glutamate receptor ionotropic n methyl d aspartate associated protein 1 glutamate binding ",.5344305,.8425363,"Same"
"ENSMUSG00000022568","scrib","scribbled planar cell polarity",.5699717,.6382238,"Same"
"ENSMUSG00000022571","pycrl","pyrroline 5 carboxylate reductase like",1.639994,2.98e-06,"Different"
"ENSMUSG00000022577","ly6h","lymphocyte antigen 6 complex locus h",.7157152,.7812239,"Same"
"ENSMUSG00000022587","ly6e","lymphocyte antigen 6 complex locus e",.0065746,.9593371,"Same"
"ENSMUSG00000022602","arc","activity regulated cytoskeletal associated protein",.6957424,.8022956,"Same"
"ENSMUSG00000022604","cep97","centrosomal protein 97",1.707881,.1907356,"Same"
"ENSMUSG00000022607","ptk2","ptk2 protein tyrosine kinase 2",.0187761,.9592049,"Same"
"ENSMUSG00000022619","mapk8ip2","mitogen activated protein kinase 8 interacting protein 2",.0096196,.9592049,"Same"
"ENSMUSG00000022623","shank3","sh3 and multiple ankyrin repeat domains 3",1.174433,.6029195,"Same"
"ENSMUSG00000022635","zcrb1","zinc finger cchc type and rna binding motif 1",1.500853,.0005588,"Different"
"ENSMUSG00000022636","alcam","activated leukocyte cell adhesion molecule",1.300719,.3958131,"Same"
"ENSMUSG00000022637","cblb","casitas b lineage lymphoma b",.8525488,.7502396,"Same"
"ENSMUSG00000022641","bbx","bobby sox hmg box containing",.0853007,.9503683,"Same"
"ENSMUSG00000022663","atg3","autophagy related 3",.6052409,.8239512,"Same"
"ENSMUSG00000022668","gtpbp8","gtp binding protein 8 putative ",1.557401,3.76e-08,"Different"
"ENSMUSG00000022672","prkdc","protein kinase dna activated catalytic polypeptide",1.862959,.002576,"Different"
"ENSMUSG00000022673","mcm4","minichromosome maintenance complex component 4",.0001242,.9662455,"Same"
"ENSMUSG00000022676","snai2","snail family zinc finger 2",.5066991,.8167683,"Same"
"ENSMUSG00000022678","nde1","nude neurodevelopment protein 1",.2208988,.9115173,"Same"
"ENSMUSG00000022681","ntan1","n terminal asn amidase",1.401698,.0061944,"Different"
"ENSMUSG00000022682","rrn3","rrn3 rna polymerase i transcription factor homolog yeast ",1.409563,.0156636,"Different"
"ENSMUSG00000022685","parn","poly a specific ribonuclease deadenylation nuclease ",.571297,.7922951,"Same"
"ENSMUSG00000022686","b3gnt5","udp glcnac:betagal beta 1 3 n acetylglucosaminyltransferase 5",.1511839,.8772232,"Same"
"ENSMUSG00000022687","boc","biregional cell adhesion molecule related/down regulated by oncogenes cdon binding protein",.1327474,.9441752,"Same"
"ENSMUSG00000022696","sidt1","sid1 transmembrane family member 1",.7020523,.7925721,"Same"
"ENSMUSG00000022698","naa50","n alpha acetyltransferase 50 nate catalytic subunit",.3192268,.8838004,"Same"
"ENSMUSG00000022701","ccdc191","coiled coil domain containing 191",1.228149,.5204293,"Same"
"ENSMUSG00000022704","qtrt2","queuine trna ribosyltransferase accessory subunit 2",.0003115,.9605781,"Same"
"ENSMUSG00000022706","mrpl40","mitochondrial ribosomal protein l40",1.579851,.0000206,"Different"
"ENSMUSG00000022707","gbe1","glucan 1 4 alpha branching enzyme 1",.5334326,.7994134,"Same"
"ENSMUSG00000022710","usp7","ubiquitin specific peptidase 7",.5470704,.8237354,"Same"
"ENSMUSG00000022711","pmm2","phosphomannomutase 2",1.3985,.0875833,"Same"
"ENSMUSG00000022718","dgcr8","dgcr8 microprocessor complex subunit",.4675127,.8625118,"Same"
"ENSMUSG00000022722","arl6","adp ribosylation factor like 6",1.541495,.1721515,"Same"
"ENSMUSG00000022724","riox2","ribosomal oxygenase 2",1.302801,.5141928,"Same"
"ENSMUSG00000022742","cpox","coproporphyrinogen oxidase",.6405645,.8280004,"Same"
"ENSMUSG00000022744","cldnd1","claudin domain containing 1",.2056761,.922048,"Same"
"ENSMUSG00000022748","cmss1","cms small ribosomal subunit 1",1.140208,.0008415,"Different"
"ENSMUSG00000022750","klhl22","kelch like 22",.0057718,.9592049,"Same"
"ENSMUSG00000022751","nit2","nitrilase family member 2",1.514798,2.28e-07,"Different"
"ENSMUSG00000022756","slc7a4","solute carrier family 7 cationic amino acid transporter y+ system member 4",1.728932,.2332584,"Same"
"ENSMUSG00000022757","tfg","trk fused gene",.0702247,.9405856,"Same"
"ENSMUSG00000022761","lztr1","leucine zipper like transcriptional regulator 1",1.529733,.1402521,"Same"
"ENSMUSG00000022762","ncam2","neural cell adhesion molecule 2",.015156,.9592049,"Same"
"ENSMUSG00000022763","aifm3","apoptosis inducing factor mitochondrion associated 3",.7625799,.7945851,"Same"
"ENSMUSG00000022765","snap29","synaptosomal associated protein 29",1.202567,.0055846,"Different"
"ENSMUSG00000022770","dlg1","discs large maguk scaffold protein 1",.5345628,.8746549,"Same"
"ENSMUSG00000022771","ppil2","peptidylprolyl isomerase cyclophilin like 2",.2557673,.8915315,"Same"
"ENSMUSG00000022773","ypel1","yippee like 1",1.094444,.2657113,"Same"
"ENSMUSG00000022774","ncbp2","nuclear cap binding protein subunit 2",1.609915,.04858,"Different"
"ENSMUSG00000022779","top3b","topoisomerase dna iii beta",1.57028,.0314314,"Different"
"ENSMUSG00000022781","pak2","p21 rac1 activated kinase 2",1.436758,.4424919,"Same"
"ENSMUSG00000022787","wdr53","wd repeat domain 53",.1813726,.9170958,"Same"
"ENSMUSG00000022788","fgd4","fyve rhogef and ph domain containing 4",1.152082,.2632419,"Same"
"ENSMUSG00000022789","dnm1l","dynamin 1 like",.0340758,.9562281,"Same"
"ENSMUSG00000022790","igsf11","immunoglobulin superfamily member 11",.3328451,.8738035,"Same"
"ENSMUSG00000022791","tnk2","tyrosine kinase non receptor 2",.0570476,.8772232,"Same"
"ENSMUSG00000022792","yars2","tyrosyl trna synthetase 2 mitochondrial ",.018462,.9592049,"Same"
"ENSMUSG00000022801","lrch3","leucine rich repeats and calponin homology ch domain containing 3",.2405443,.8609858,"Same"
"ENSMUSG00000022802","lmln","leishmanolysin like metallopeptidase m8 family ",1.246205,.2359276,"Same"
"ENSMUSG00000022807","osbpl11","oxysterol binding protein like 11",.0165887,.8861466,"Same"
"ENSMUSG00000022808","snx4","sorting nexin 4",.8437405,.6029195,"Same"
"ENSMUSG00000022814","umps","uridine monophosphate synthetase",.0625159,.9592049,"Same"
"ENSMUSG00000022816","fstl1","follistatin like 1",.0007128,.9650449,"Same"
"ENSMUSG00000022820","ndufb4","nadh:ubiquinone oxidoreductase subunit b4",.0623082,.9592049,"Same"
"ENSMUSG00000022827","rabl3","rab member ras oncogene family like 3",1.345435,.0113496,"Different"
"ENSMUSG00000022828","gtf2e1","general transcription factor ii e polypeptide 1 alpha subunit ",.0798778,.9592049,"Same"
"ENSMUSG00000022829","stxbp5l","syntaxin binding protein 5 like",.4823105,.8371552,"Same"
"ENSMUSG00000022831","hcls1","hematopoietic cell specific lyn substrate 1",.0007092,.9644368,"Same"
"ENSMUSG00000022833","ccdc14","coiled coil domain containing 14",.9118741,.738575,"Same"
"ENSMUSG00000022836","mylk","myosin light polypeptide kinase",1.836046,.1099062,"Same"
"ENSMUSG00000022837","iqcb1","iq calmodulin binding motif containing 1",1.353204,.5066137,"Same"
"ENSMUSG00000022840","adcy5","adenylate cyclase 5",.0042993,.9592049,"Same"
"ENSMUSG00000022841","ap2m1","adaptor related protein complex 2 mu 1 subunit",1.145465,.5927048,"Same"
"ENSMUSG00000022842","ece2","endothelin converting enzyme 2",1.738804,.2215979,"Same"
"ENSMUSG00000022843","clcn2","chloride channel voltage sensitive 2",1.237498,2.09e-07,"Different"
"ENSMUSG00000022844","pdia5","protein disulfide isomerase associated 5",.8313712,.7384524,"Same"
"ENSMUSG00000022847","thpo","thrombopoietin",.4749087,.8738035,"Same"
"ENSMUSG00000022849","hspbap1","hspb associated protein 1",1.194172,.5540797,"Same"
"ENSMUSG00000022853","ehhadh","enoyl coenzyme a hydratase/3 hydroxyacyl coenzyme a dehydrogenase",.2094718,.8738035,"Same"
"ENSMUSG00000022855","senp2","sumo/sentrin specific peptidase 2",.0874321,.9277219,"Same"
"ENSMUSG00000022856","tmem41a","transmembrane protein 41a",1.039082,.6715057,"Same"
"ENSMUSG00000022858","tra2b","transformer 2 beta",.0095999,.9592049,"Same"
"ENSMUSG00000022860","chodl","chondrolectin",1.397485,.0016836,"Different"
"ENSMUSG00000022861","dgkg","diacylglycerol kinase gamma",1.141619,.6109478,"Same"
"ENSMUSG00000022867","usp25","ubiquitin specific peptidase 25",.222447,.9249427,"Same"
"ENSMUSG00000022881","rfc4","replication factor c activator 1 4",.0004717,.9662455,"Same"
"ENSMUSG00000022883","robo1","roundabout guidance receptor 1",.8579335,.7405335,"Same"
"ENSMUSG00000022884","eif4a2","eukaryotic translation initiation factor 4a2",.0014688,.9592049,"Same"
"ENSMUSG00000022887","masp1","mannan binding lectin serine peptidase 1",.1987886,.9270472,"Same"
"ENSMUSG00000022889","mrpl39","mitochondrial ribosomal protein l39",.0283786,.9592049,"Same"
"ENSMUSG00000022890","atp5j","atp synthase h+ transporting mitochondrial f0 complex subunit f",1.585608,.1401568,"Same"
"ENSMUSG00000022892","app","amyloid beta a4 precursor protein",.2018972,.8721513,"Same"
"ENSMUSG00000022893","adamts1","a disintegrin like and metallopeptidase reprolysin type with thrombospondin type 1 motif 1",.0506269,.9592049,"Same"
"ENSMUSG00000022895","ets2","e26 avian leukemia oncogene 2 3' domain",.0140343,.9592049,"Same"
"ENSMUSG00000022897","dyrk1a","dual specificity tyrosine y phosphorylation regulated kinase 1a",.2175219,.8989379,"Same"
"ENSMUSG00000022899","slc15a2","solute carrier family 15 h+/peptide transporter member 2",.3427753,.7863481,"Same"
"ENSMUSG00000022906","parp9","poly adp ribose polymerase family member 9",1.418595,1.01e-06,"Different"
"ENSMUSG00000022911","arl13b","adp ribosylation factor like 13b",1.183767,.5573881,"Same"
"ENSMUSG00000022913","psmg1","proteasome prosome macropain assembly chaperone 1",1.745721,.0120135,"Different"
"ENSMUSG00000022935","grik1","glutamate receptor ionotropic kainate 1",1.194976,.2255326,"Same"
"ENSMUSG00000022941","ripply3","ripply transcriptional repressor 3",.0226869,.8888757,"Same"
"ENSMUSG00000022945","chaf1b","chromatin assembly factor 1 subunit b p60 ",1.036593,.6298483,"Same"
"ENSMUSG00000022946","dop1b","dop1 leucine zipper like protein b",1.240543,.1899202,"Same"
"ENSMUSG00000022947","cbr3","carbonyl reductase 3",.0055234,.8776925,"Same"
"ENSMUSG00000022951","rcan1","regulator of calcineurin 1",1.376379,.4433453,"Same"
"ENSMUSG00000022957","itsn1","intersectin 1 sh3 domain protein 1a ",.321384,.8153329,"Same"
"ENSMUSG00000022960","donson","downstream neighbor of son",.1662441,.8927879,"Same"
"ENSMUSG00000022961","son","son dna binding protein",1.62087,.0548049,"Same"
"ENSMUSG00000022962","gart","phosphoribosylglycinamide formyltransferase",.859138,.5761597,"Same"
"ENSMUSG00000022964","tmem50b","transmembrane protein 50b",.0395626,.9101785,"Same"
"ENSMUSG00000022965","ifngr2","interferon gamma receptor 2",1.261953,.1796259,"Same"
"ENSMUSG00000022971","ifnar2","interferon alpha and beta receptor 2",1.358985,.3562946,"Same"
"ENSMUSG00000022973","synj1","synaptojanin 1",.0193414,.9592049,"Same"
"ENSMUSG00000022974","paxbp1","pax3 and pax7 binding protein 1",.7893426,.4662996,"Same"
"ENSMUSG00000022978","mis18a","mis18 kinetochore protein a",.0000381,.9650449,"Same"
